"","Season","Squad","Player","Nation","Age","Gls","Ast","G_minus_PK","PK","xG_Expected","Min_Playing_Time","PlayerURL"
"621","2020-2021","Sheffield United","George Baldock","GRE","27",0,2,0,0,1.2,2787,"https://fbref.com/en/players/394854c4/George-Baldock"
"622","2020-2021","Sheffield United","Chris Basham","ENG","32",0,1,0,0,0.7,2576,"https://fbref.com/en/players/1aa84968/Chris-Basham"
"623","2020-2021","Sheffield United","Enda Stevens","IRL","30",0,1,0,0,1.3,2700,"https://fbref.com/en/players/17d4507a/Enda-Stevens"
"624","2020-2021","Sheffield United","John Egan","IRL","27",0,1,0,0,0.8,2629,"https://fbref.com/en/players/debe38a0/John-Egan"
"625","2020-2021","Sheffield United","John Fleck","SCO","28",0,2,0,0,0.6,2575,"https://fbref.com/en/players/b63e789d/John-Fleck"
"626","2020-2021","Sheffield United","David McGoldrick","IRL","32",8,1,8,0,6.9,2397,"https://fbref.com/en/players/dbe56a33/David-McGoldrick"
"627","2020-2021","Sheffield United","Oliver Norwood","NIR","29",0,0,0,0,0.5,2220,"https://fbref.com/en/players/43439614/Oliver-Norwood"
"628","2020-2021","Sheffield United","Ethan Ampadu","WAL","19",0,0,0,0,0.3,2089,"https://fbref.com/en/players/10b9fa99/Ethan-Ampadu"
"629","2020-2021","Sheffield United","John Lundstram","ENG","26",0,2,0,0,1.9,2032,"https://fbref.com/en/players/0df2b165/John-Lundstram"
"630","2020-2021","Sheffield United","Ben Osborn","ENG","25",1,0,1,0,1.1,1604,"https://fbref.com/en/players/79bc4c45/Ben-Osborn"
"631","2020-2021","Sheffield United","Oliver Burke","SCO","23",1,1,1,0,2.1,1269,"https://fbref.com/en/players/f631c17f/Oliver-Burke"
"632","2020-2021","Sheffield United","Sander Berge","NOR","22",1,1,0,1,1.2,1120,"https://fbref.com/en/players/d0b6129f/Sander-Berge"
"633","2020-2021","Sheffield United","Oliver McBurnie","SCO","24",1,0,1,0,3.9,1324,"https://fbref.com/en/players/78b8ac63/Oliver-McBurnie"
"634","2020-2021","Sheffield United","Rhian Brewster","ENG","20",0,0,0,0,1.8,1128,"https://fbref.com/en/players/30e81a88/Rhian-Brewster"
"635","2020-2021","Sheffield United","Jayden Bogle","ENG","20",2,0,2,0,1.9,1110,"https://fbref.com/en/players/ae5019e6/Jayden-Bogle"
"636","2020-2021","Sheffield United","Kean Bryan","ENG","23",1,0,1,0,0.9,1004,"https://fbref.com/en/players/c684d3c9/Kean-Bryan"
"637","2020-2021","Sheffield United","Jack Robinson","ENG","26",0,1,0,0,0.7,877,"https://fbref.com/en/players/7399c7a8/Jack-Robinson"
"638","2020-2021","Sheffield United","Billy Sharp","ENG","34",3,0,1,2,3,735,"https://fbref.com/en/players/e8c9f4e9/Billy-Sharp"
"639","2020-2021","Sheffield United","Max Lowe","ENG","23",0,0,0,0,0.1,550,"https://fbref.com/en/players/7af88b33/Max-Lowe"
"640","2020-2021","Sheffield United","Phil Jagielka","ENG","37",0,0,0,0,0,526,"https://fbref.com/en/players/3233eefd/Phil-Jagielka"
"641","2020-2021","Sheffield United","Daniel Jebbison","ENG","17",1,0,1,0,1.1,284,"https://fbref.com/en/players/03edb878/Daniel-Jebbison"
"642","2020-2021","Sheffield United","Lys Mousset","FRA","24",0,0,0,0,1,296,"https://fbref.com/en/players/d9cfca3d/Lys-Mousset"
"643","2020-2021","Sheffield United","Jack O'Connell","ENG","26",0,0,0,0,0,180,"https://fbref.com/en/players/312626c1/Jack-OConnell"
"644","2020-2021","Sheffield United","Iliman Ndiaye","SEN","20",0,0,0,0,0,12,"https://fbref.com/en/players/5ed97752/Iliman-Ndiaye"
"645","2020-2021","Sheffield United","Antwoine Hackford","ENG","16",0,0,0,0,0.1,11,"https://fbref.com/en/players/a7588cdc/Antwoine-Hackford"
"646","2020-2021","Sheffield United","Femi Seriki","ENG","18",0,0,0,0,0,1,"https://fbref.com/en/players/e4e0deaa/Femi-Seriki"
"647","2020-2021","Sheffield United","Harry Boyes","ENG","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/467bf546/Harry-Boyes"
"648","2020-2021","Sheffield United","Zak Brunt","ENG","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/a31f0ebf/Zak-Brunt"
"649","2020-2021","Sheffield United","Wes Foderingham","ENG","29",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/96cf7b61/Wes-Foderingham"
"650","2020-2021","Sheffield United","Kyron Gordon","ENG","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/f4aba1af/Kyron-Gordon"
"651","2020-2021","Sheffield United","Frankie Maguire","ENG","17",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/3e5bd5e0/Frankie-Maguire"
"652","2020-2021","Sheffield United","William Osula","DEN","16",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/7b355808/William-Osula"
"653","2020-2021","Sheffield United","Michael Verrips","NED","23",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/424595d5/Michael-Verrips"
